theta_mrad,x_mslt_cm,x_fslt_cm
-7.0645,nan,nan
12.4461,nan,nan
8.4367,0.32173,0.76411
1.9928,-0.27914,-1.44220
3.5344,-0.23032,-1.68415
-2.5814,-0.23078,0.02625
-13.8938,nan,nan
-6.6786,nan,nan
-3.2410,-0.49083,-1.19999
6.7590,0.65921,nan
13.7560,nan,nan
1.0070,0.08614,1.13684
8.2268,0.35287,0.96836
-0.9150,-0.14657,0.18553
8.4857,0.66202,2.19183
11.3549,nan,nan
2.5161,0.01794,0.44395
-4.5267,-0.41445,-0.74546
-2.6223,-0.28614,-0.35430
-17.3878,nan,nan
-3.1495,-0.29777,-0.32228
7.7576,0.15678,-0.12951
-9.2548,nan,nan
-14.0328,nan,nan
-4.1437,-0.65485,nan
11.8596,nan,nan
18.7353,nan,nan
-4.8395,-0.47557,-1.07674
-16.5508,nan,nan
13.8372,nan,nan
1.3712,-0.14985,-0.36260
3.4095,-0.22609,-1.51360
10.7489,nan,nan
-4.0757,-0.51982,-1.51315
-3.3064,-0.59208,nan
1.0154,-0.37965,-2.17697
15.5602,nan,nan
7.4486,0.45269,1.79875
-2.6790,-0.29493,-0.23443
-7.1660,-0.66291,-1.79666
4.0251,-0.14098,-1.19149
-14.8573,nan,nan
16.1118,nan,nan
-13.6356,nan,nan
13.0845,nan,nan
4.7416,0.04338,-0.07247
-9.8767,nan,nan
5.0503,0.01151,-0.37290
1.1462,-0.16010,-0.47364
1.4418,-0.01927,0.27978
7.3250,0.55109,1.92472
1.5513,0.12730,1.42147
17.0642,nan,nan
13.9165,nan,nan
-17.8458,nan,nan
7.4318,0.56868,1.95927
-2.9004,-0.55692,-2.19321
10.0363,0.50599,1.45380
-14.0268,nan,nan
-7.3437,-0.71228,-2.14764
3.8086,0.36101,1.50667
0.7714,-0.25522,-1.00022
2.2072,0.01800,0.53402
18.5435,nan,nan
11.2209,0.48928,1.06882
-14.5873,nan,nan
-7.8691,nan,nan
-2.8169,-0.58346,nan
2.3332,-0.03132,0.10024
-5.3816,-0.60331,-1.65561
7.5614,0.56205,1.81386
7.5106,0.10208,-0.28764
9.2431,0.66644,1.89401
-3.4981,-0.41685,-0.80812
-9.5389,nan,nan
-9.0089,nan,nan
-1.5766,-0.47509,-2.01002
6.8450,0.65205,1.54433
-2.5416,-0.46387,-1.74948
1.2730,0.09941,1.20773
4.5392,-0.15576,-1.40472
-6.1471,-0.70268,nan
-16.1675,nan,nan
1.8248,-0.01738,0.33320
1.2150,0.01528,0.73795
12.2684,nan,nan
-10.2116,nan,nan
13.1748,0.64801,1.62074
12.8229,nan,nan
1.0213,-0.31738,-1.75582
-3.6551,-0.32755,-0.31339
-11.4667,nan,nan
-8.9354,nan,nan
-17.7596,nan,nan
10.9547,nan,nan
9.2754,0.66178,1.66930
6.5833,0.48647,2.01489
-3.4739,-0.55739,nan
-14.0080,nan,nan
-3.5249,-0.52906,-1.45406
